e1,e2,e3,e4,e5,e6,e8,ege_budg,wos,scopus,rsci,rnd,total_income,square,phd_share,pps,rnd_private,pk
61.88,75.55,6.63,2556.79,14.22,94.464,6.91,63.03,8.148,1.806,346.54200000000003,34979.8,1183805.084,53753,86.11,420,12016.2,3781.4
55.81,76.32,9.17,2765.05,142.78,55.0,7.33,57.6,15.721000000000002,29.7306,591.9454,34739.6,1258764.5,53753,88.74,398,11741.0,3749.05
57.45,86.4,12.43,2881.25,166.81,55.0,7.1,58.58,20.482000000000003,55.825,1323.014,35750.5,1192261.0,51206,88.72,385,19762.05,3459.4
59.44,84.8,15.85,1976.0,146.02,0.0,6.75,60.76,4.849,22.3054,1456.9006999999997,32631.6,760364.6,60484,90.93,373,21984.62,3514.65
60.15,109.27,24.5,2044.22,158.43,65.0,5.75,61.82,3.993,17.024700000000003,1014.9843,39626.1,741335.0,60471,90.36,363,27054.39,4179.0
65.58,64.3,1.66,1572.76,12.34,98.596,3.85,66.89,4.4672,10.0512,280.31679999999994,20093.2,491475.712,42865,78.37,349,1539.09,3474.8
61.02,88.97,1.8,1706.28,146.99,75.0,3.74,62.26,1.0528,7.336699999999999,519.9187000000001,27982.1,536624.2,49865,79.32,329,648.13,3541.95
60.42,93.05,2.09,1768.28,153.1,75.0,3.48,62.58,4.1265,15.435,662.4134999999999,28496.1,541536.6,49861,78.8,315,27310.5,3475.65
61.54,82.44,2.37,1539.88,159.33,70.0,4.01,64.56,7.8995,7.8995,669.2005,28669.5,535494.3,49861,78.61,305,23951.65,3642.7
61.86,83.53,2.62,1570.19,160.01,70.0,3.79,64.85,11.2098,7.473199999999999,1204.0958,28098.2,528212.1,42861,78.76,314,20881.0,3720.65
61.74,59.9,4.34,1286.08,17.21,97.224,4.92,63.62,11.251799999999998,19.95,494.2014,55138.9,1183811.508,144196,68.2,798,19535.04,8190.2
58.67,85.73,4.91,1574.29,147.49,80.0,4.36,60.65,12.4476,46.8303,602.5701,68135.8,1253954.4,145013,67.04,759,40940.46,7812.8
58.99,68.12,6.21,1533.92,151.91,80.0,4.52,60.49,35.4207,62.216,1665.3385,50319.6,1133107.4,145045,69.38,707,38588.06,7393.0
58.08,94.05,6.28,1745.42,167.0,75.0,4.5,60.15,46.1016,74.34219999999999,1715.2626,60535.1,1123442.4,117213,70.39,674,50731.98,7004.8
58.65,71.56,7.37,1685.53,187.37,75.0,5.2,61.95,73.2564,101.6158,1901.9532,47325.4,1114642.0,117213,73.5,646,37687.64,6840.5
67.34,94.28,3.25,1305.93,9.62,97.793,6.01,72.76,33.01540000000001,54.30440000000001,941.3228,89627.5,1241514.834,78676,75.51,698,10239.66,7924.9
62.85,199.44,5.36,1452.0,195.56,75.0,5.67,67.55,51.6146,86.7395,1416.8269,163524.2,1190495.9,53407,80.56,613,7472.469999999999,7811.55
63.9,191.07,7.87,1872.86,200.88,75.0,5.43,68.21,88.15950000000001,112.905,1516.554,144533.9,1416727.2,53672,82.36,585,33017.4,7896.85
64.4,297.11,9.11,2473.39,211.92,0.0,4.54,70.04,175.34099999999998,167.5296,1881.107,210261.8,1750415.7,54892,82.11,554,34109.78,8720.9
63.71,316.77,10.68,2659.27,209.8,65.0,3.75,69.49,249.9915,216.147,2154.5485,194069.6,1629199.2,54050,81.82,545,72626.7,9048.3
55.85,56.37,1.2,1230.6,11.13,94.183,6.07,56.9,8.527199999999999,9.0882,241.8658,37135.5,810646.85,51527,56.48,374,8314.02,4592.9
55.13,91.53,2.21,1975.84,160.18,75.0,4.57,58.31,14.4136,19.2296,512.1472,39284.5,848031.5,95195,59.49,344,17196.56,4296.4
55.95,111.68,3.49,2314.92,190.73,75.0,4.9,57.5,13.513799999999998,32.5725,602.0307,42607.1,883140.7,82124,63.72,303,29718.24,3705.9
58.37,131.11,2.97,2209.84,180.57,70.0,4.84,60.35,10.668,28.224,616.112,48143.3,811453.6,51023,70.87,280,34591.200000000004,3774.0
58.65,138.38,3.0,2308.2,189.92,65.0,4.86,61.23,23.9051,28.6972,924.6537,48088.7,802098.3,44861,71.8,277,34001.75,3708.8
57.12,200.56,1.91,1935.16,16.05,97.097,3.33,60.0,12.5994,6.308,188.0614,31688.8,305758.82,26234,67.17,166,9201.38,1634.2
56.11,236.61,2.3,1547.59,132.35,80.0,3.59,58.54,8.9964,9.996,378.9954,34782.1,315271.5,26161,78.09,147,13228.53,1449.6
56.95,140.43,2.75,2405.97,143.24,75.0,3.64,57.11,8.0262,11.583,288.82620000000003,18431.9,315783.5,26157,79.14,117,24974.82,1272.35
58.34,107.25,2.57,1963.99,139.56,75.0,3.96,59.8,5.015,15.0332,397.6482,15149.4,277414.2,26157,75.47,118,22290.2,1285.5
57.53,95.32,2.19,2353.44,152.65,65.0,3.85,58.2,4.4268,3.5462,271.23670000000004,12797.3,315949.0,26157,77.99,119,34433.840000000004,1353.8
51.07,75.53,0.0,1847.11,16.21,93.028,3.57,51.82,11.4366,19.065900000000003,213.4734,11650.0,284913.47199999995,28871,69.23,147,9243.36,1781.6
49.91,95.3,0.04,2187.4,142.47,80.0,3.76,50.4,16.255399999999998,17.1598,233.0377,12555.6,288189.5,28871,78.99,119,9415.28,1576.9
50.52,113.06,0.51,2163.74,171.79,75.0,4.31,50.45,17.034200000000002,17.9246,193.6196,13369.4,255862.4,28871,83.77,106,10698.58,1305.9
50.65,128.74,0.19,2043.86,152.01,0.0,4.66,50.75,17.8002,24.9183,358.6275,14322.8,227379.9,28840,85.86,99,14873.76,1199.5
51.17,104.56,0.2,2343.87,159.91,80.0,4.06,51.58,14.6592,42.0192,362.5056,10272.7,230284.8,28840,85.37,96,10037.76,1164.7
62.71,72.79,1.66,1330.69,13.12,95.701,2.78,63.26,0.0,0.0,133.34529999999998,17760.6,324684.126,36432,78.95,241,14674.49,2654.6
60.52,85.17,2.46,816.08,127.44,75.0,3.17,63.32,0.0,5.6144,298.0714,22059.3,359865.9,36433,78.16,242,7889.200000000001,2541.1
63.9,73.39,3.56,1474.18,148.41,70.0,3.28,63.86,0.0,8.88,366.2112,18328.0,368176.5,10741,80.09,222,15211.44,2268.05
